label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,65536,32000,bfloat16,cuda,mean,False,False,False,201.2928009033203,10003710976,0.0023398537438199794,0.0015315287909022429,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,1927.89404296875,29456847360,nan,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,1940.7196044921875,28120945152,nan,nan,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,1973.8162841796875,27721429504,nan,nan,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,1086.454833984375,77039268864,0.0028250821946844387,nan,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,1097.280517578125,75840726016,0.0028250821946844387,nan,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,1129.30810546875,75241454592,0.0028250763712521034,nan,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,226.65420532226562,68650660864,0.0028250821946844387,nan,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,229.8296356201172,10946454016,0.0028250821946844387,0.001786754730684227,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,228.64691162109375,10212964864,0.0028250763712521034,0.0019948202655148636,nan,,
auto_fp32,auto,auto,float32,4096,65536,32000,bfloat16,cuda,mean,False,False,False,296.5565490722656,9662848000,0.0028250763712521034,0.0023215815039301577,nan,,
liger,,,,4096,65536,32000,bfloat16,cuda,mean,False,False,False,227.60569763183594,22315978752,nan,nan,nan,,
