label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,228.24549865722656,75057366528,0.0023130123610129484,nan,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,2169.357421875,33072337408,nan,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,2188.2041015625,31602217472,nan,nan,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,2225.31689453125,31169147392,nan,nan,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1215.705078125,22689346048,nan,nan,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1236.33154296875,21390139904,nan,nan,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1272.7838134765625,20740536832,nan,nan,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,255.7777862548828,77131543552,0.002817719879868616,nan,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,260.1850891113281,76134327296,0.002817718014612894,nan,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,256.9144287109375,75333729280,0.0028177262106593476,nan,nan,,
auto_fp32,auto,auto,float32,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,328.4766845703125,74733280768,0.002817718014612894,nan,nan,,
liger,,,,4096,73728,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,255.97433471679688,25071636480,nan,nan,nan,,
