label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,4096,4096,bfloat16,cuda,none,False,False,False,1.8862080574035645,218407936,0.0017248940286687428,0.0017218617373746116,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,17.546239852905273,520484352,0.0016614435036825211,0.001658683972795216,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,17.665023803710938,419804672,0.0016614435031530545,0.002032194886953207,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,19.341312408447266,386242048,0.0016614435044154557,0.002623024483890453,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,12.290047645568848,419829248,0.0016619935880926924,0.001658683972795216,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,12.980223655700684,319145472,0.0016619935880926924,0.002032194886953207,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,12.055551528930664,268803584,0.0016619935880926924,0.002623024483890453,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,4.126719951629639,352720384,0.0016619935880926924,0.002138252930742504,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,4.124671936035156,252036608,0.0016619935880926924,0.0024364785337699984,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,5.6750078201293945,201694720,0.0016619935880926924,0.0029474736434918648,nan,,
auto_fp32,auto,auto,float32,4096,4096,4096,bfloat16,cuda,none,False,False,False,4.729856014251709,252036608,0.0016619935880926924,0.0024369594582394944,nan,,
liger,,,,4096,4096,4096,bfloat16,cuda,none,False,False,False,2.649087905883789,285528064,0.001703159453985009,0.0017006101850345825,nan,,
