label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,4096,float16,cuda,mean,True,False,2.2026240825653076,386139136,0.24215615232167081,0.19939188851986503,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,True,False,16.294912338256836,721732608,0.1371938163245214,0.0021429643068386303,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,True,False,19.998720169067383,621044736,0.13719381649076445,0.0030302070193601286,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,True,False,17.00454330444336,570700800,0.13719381632574865,0.0042852968326712116,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,True,False,2.7985920906066895,486843392,0.24400072401220224,0.20154814785940905,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,True,False,2.9962239265441895,436498944,0.2440020754693425,0.20155559707681273,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,True,False,4.040703773498535,411318784,0.24400072401220224,0.20158468161667112,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,True,False,2.6664960384368896,419734528,0.24400072401220224,0.20154814785940905,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,True,False,2.7648000717163086,386139136,0.2440020754693425,0.20155559707681273,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,True,False,3.4590721130371094,386139136,0.24400072401220224,0.20158468161667112,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,True,False,2.762752056121826,386139136,0.2440020754693425,0.20155559707681273,,
