label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,16384,4096,32000,float16,cuda,mean,False,False,False,51.399681091308594,4607837184,0.025457621274336872,0.01371739714917067,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,16384,4096,32000,float16,cuda,mean,False,False,False,491.85382080078125,2422834176,0.018040326747232622,0.0011427925913947857,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,mean,False,False,False,508.1978759765625,2274976768,0.018040326747232622,0.0016134836954744217,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,mean,False,False,False,524.3986206054688,2201048064,0.018040326747631334,0.002279791916688996,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,16384,4096,32000,float16,cuda,mean,False,False,False,67.46214294433594,1515815424,0.025581355942184913,0.013765191137180718,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,mean,False,False,False,75.65312194824219,1425105408,0.025581355942184913,0.013776315303842603,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,mean,False,False,False,89.80786895751953,1379750400,0.025581355942184913,0.013783717451654406,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,16384,4096,32000,float16,cuda,mean,False,False,False,61.225982666015625,991527424,0.025581355942184913,0.013767553983683005,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,mean,False,False,False,62.524417877197266,900817408,0.025581355942184913,0.013777900870168934,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,mean,False,False,False,65.51347351074219,855462400,0.025581355942184913,0.013784700775238955,nan,,
auto_fp32,auto,auto,float32,16384,4096,32000,float16,cuda,mean,False,False,False,62.56230545043945,900817408,0.025581355942184913,0.013777904211226556,nan,,
liger,,,,16384,4096,32000,float16,cuda,mean,False,False,False,63.335838317871094,1728528384,0.02539453972746821,0.01374397772309389,nan,,
