label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,1024,4096,32000,bfloat16,cuda,mean,True,False,4.345856189727783,1016857600,0.009002131162400596,0.01488577102672899,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,40.90879821777344,1986398208,0.0016606722541231494,0.003483707876431605,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,50.63987350463867,1968572416,0.0016606722541231494,0.004784408662008833,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,69.607421875,1960052736,0.0016606723294678703,0.006663149963663927,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,27.396095275878906,1453131776,0.002947816761317152,0.003483707876431605,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,38.08051300048828,1431603200,0.0021874120401888276,0.004784408662008833,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,58.53388977050781,1421248512,0.002205425069262412,0.006663149963663927,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,10.586112022399902,1156318208,0.002947816761317152,0.0038345314857731326,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,16.00819206237793,1156318208,0.0021874120401888276,0.005045480379736448,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,28.031999588012695,1156318208,0.002205425069262412,0.006852386983780393,,
auto_fp32,auto,aspect_ratio:2,float32,1024,4096,32000,bfloat16,cuda,mean,True,False,16.01535987854004,1156318208,0.0021874120401888276,0.005045480379736448,,
