label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,8192,32000,float16,cuda,mean,True,False,25.419776916503906,3034842112,1.0014088138484045,0.8714005184670649,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,8192,32000,float16,cuda,mean,True,False,249.01632690429688,5038683136,0.4211641069219849,0.0355218681716143,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,True,False,261.9228210449219,4889779200,0.4211641071513782,0.05023397559136172,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,8192,32000,float16,cuda,mean,True,False,277.4906921386719,4815851520,0.4211641069219849,0.07104681460794758,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,8192,32000,float16,cuda,mean,True,False,37.23161697387695,3658234368,0.8709049665076487,0.6908050241959535,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,True,False,44.01766586303711,3608681984,0.9069777322608512,0.6917243108471623,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,8192,32000,float16,cuda,mean,True,False,60.93414306640625,3583905792,0.9322351494148463,0.6935428008644854,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,8192,32000,float16,cuda,mean,True,False,30.58380889892578,3101950976,0.8709049665076487,0.6908050241959535,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,True,False,31.59244728088379,3101950976,0.9069777322608512,0.6917243108471623,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,8192,32000,float16,cuda,mean,True,False,37.391361236572266,3101950976,0.9322351494148463,0.6935428008644854,,
auto_fp32,auto,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,True,False,31.59859275817871,3101950976,0.9069777322608512,0.6917243108471623,,
