label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,8192,4096,32000,bfloat16,cuda,none,False,26.454015731811523,2443527168,0.002363960751769055,0.0016541598170178638,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,8192,4096,32000,bfloat16,cuda,none,False,266.1611633300781,2006386176,0.0016612215943582116,0.0027677574195475577,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,8192,4096,32000,bfloat16,cuda,none,False,275.272705078125,1932457472,0.0016612215943582116,0.0031386463789416534,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,8192,4096,32000,bfloat16,cuda,none,False,305.1253662109375,1895493120,0.0016612215943582116,0.003440372355316778,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,8192,4096,32000,bfloat16,cuda,none,False,156.1722869873047,1478952448,0.002876707055425398,0.0027677574195475577,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,8192,4096,32000,bfloat16,cuda,none,False,164.89471435546875,1339487744,0.002876707055425398,0.0031386463789416534,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,8192,4096,32000,bfloat16,cuda,none,False,183.85816955566406,1269755392,0.002876707055425398,0.003440372355316778,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,8192,4096,32000,bfloat16,cuda,none,False,46.448638916015625,954664448,0.002876707055425398,0.002827940819413979,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,8192,4096,32000,bfloat16,cuda,none,False,49.856510162353516,815199744,0.002876707055425398,0.003180678625772428,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,8192,4096,32000,bfloat16,cuda,none,False,59.242496490478516,745467392,0.002876707055425398,0.0034686919791214795,,
auto_fp32,auto,aspect_ratio:2,float32,8192,4096,32000,bfloat16,cuda,none,False,50.05516815185547,815199744,0.002876707055425398,0.003180635544594823,,
liger,,,,8192,4096,32000,bfloat16,cuda,none,False,38.970367431640625,1527619584,0.00235863043615649,0.003014692436340001,,
