label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,1024,32000,bfloat16,cuda,none,False,False,False,5.045248031616211,1139581952,0.0029243593256609948,0.0016334718544464683,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,50.23334503173828,463567360,0.0016610952032064651,0.003095205921707734,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,65.88313293457031,454457856,0.001661095203162345,0.0032421339834365027,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,92.48153686523438,450329088,0.0016610952031902374,0.0033408635130780387,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,36.01203155517578,330398208,0.0016612980983242238,0.003095205921707734,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,53.159934997558594,314046976,0.0016613029465396077,0.0032421339834365027,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,83.52153778076172,305527296,0.0016613262939182362,0.0033408635130780387,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,20.87833595275879,198277632,0.0016612980983242238,0.0031117244807243225,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,36.01919937133789,181926400,0.0016613029465396077,0.003253922477226047,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,70.72051239013672,173406720,0.0016613262939182362,0.0033487278926290836,nan,,
auto_fp32,auto,auto,float32,4096,1024,32000,bfloat16,cuda,none,False,False,False,35.492862701416016,181926400,0.0016613029465396077,0.003253916688340683,nan,,
liger,,,,4096,1024,32000,bfloat16,cuda,none,False,False,False,21.203968048095703,370790400,0.002251506511145366,0.003184053527245357,nan,,
