label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,4096,32000,float16,cuda,mean,False,False,False,12.803071975708008,1361347584,0.016305746935414568,0.00709038531188783,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,32000,float16,cuda,mean,False,False,False,132.10829162597656,1798136832,0.004509447522300969,0.0006972418678434552,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,False,False,145.7838134765625,1761172480,0.004509447520850429,0.0009733379085075297,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,32000,float16,cuda,mean,False,False,False,156.11392211914062,1742690304,0.004509447521147546,0.0013520885835406025,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,32000,float16,cuda,mean,False,False,False,22.992895126342773,1178165760,0.015258368303525638,0.007145133810136002,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,False,False,32.39321517944336,1155488256,0.013263269528478536,0.007175772624404155,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,32000,float16,cuda,mean,False,False,False,56.93747329711914,1144150016,0.01525871280574921,0.007231192126376326,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,32000,float16,cuda,mean,False,False,False,16.8222713470459,653877760,0.015258368303525638,0.007146081742746148,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,32000,float16,cuda,mean,False,False,False,20.968448638916016,631200256,0.013263269528478536,0.007176707898880946,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,32000,float16,cuda,mean,False,False,False,32.361473083496094,619862016,0.01525871280574921,0.0072321292259694804,nan,,
auto_fp32,auto,auto,float32,4096,4096,32000,float16,cuda,mean,False,False,False,21.06777572631836,631200256,0.013263269528478536,0.007176704501533317,nan,,
liger,,,,4096,4096,32000,float16,cuda,mean,False,False,False,25.579200744628906,1427689472,0.014219077641571359,0.007125523334262648,nan,,
