label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,189.34886169433594,9412314112,0.0023343365370861358,0.0015303566854188329,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1790.3995361328125,27649102336,nan,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1823.963134765625,26388828672,0.0016621515859496544,0.0017310562103511852,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1836.5,26006090240,0.0016621515497477065,0.0019553994340816214,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,999.6636352539062,19048821248,0.002831068544196556,0.0015213423272323592,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1027.4591064453125,17900610048,0.002831068544196556,0.0017310562103511852,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1038.275634765625,17326504448,0.0028310567736013893,0.0019553994340816214,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,213.68934631347656,11184501248,0.002831068544196556,0.0015901661723891813,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,216.158203125,10036290048,0.002831068544196556,0.0017844667332621706,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,216.06809997558594,9462184448,0.0028310567736013893,0.0019931146397442366,nan,,
auto_fp32,auto,auto,float32,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,229.45791625976562,9175131648,0.002831068544196556,0.0021765267728450135,nan,,
liger,,,,4096,61440,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,213.46751403808594,74172387840,0.0023293209512279373,nan,nan,,
