label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,16384,bfloat16,cuda,mean,True,False,6.94374418258667,1392772096,0.009712733457868479,0.012257369468758902,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,66.91532897949219,1778659840,0.0016572588116366882,0.002548179518959574,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,69.87673950195312,1703156224,0.0016572588116366882,0.003401416004593862,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,76.75084686279297,1665404416,0.0016572588116366882,0.00466222888473747,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,38.51059341430664,1476669952,0.0026870407378064296,0.002548179518959574,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,41.5365104675293,1384389120,0.002477057197310171,0.003401416004593862,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,45.897727966308594,1338248704,0.002477057197310171,0.00466222888473747,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,10.308608055114746,1208234496,0.0026870407378064296,0.0029374517742318047,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,11.480064392089844,1191445504,0.002477057197310171,0.0037021254263670616,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,13.949952125549316,1191445504,0.002477057197310171,0.004884973204274478,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,16384,bfloat16,cuda,mean,True,False,11.474944114685059,1191445504,0.002477057197310171,0.0037021254263670616,,
