label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,32768,32000,bfloat16,cuda,mean,False,False,False,99.89631652832031,5272536064,0.0023350355044901958,0.0015348639781990372,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,962.8364868164062,15003406848,0.0016559524275071894,0.001525892706051178,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,961.49609375,14204375552,0.0016559524275071894,0.001735780396453664,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,972.7713012695312,13939077632,0.0016559524275071894,0.0019602466767528054,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,542.318603515625,10534384128,0.0028348396508601605,0.001525892706051178,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,539.968505859375,9738494464,0.0028348396508601605,0.001735780396453664,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,553.2528686523438,9340549632,0.0028348396508601605,0.0019602466767528054,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,115.24607849121094,6340080128,0.0028348396508601605,0.0015952249826847293,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,114.10739135742188,5544190464,0.0028348396508601605,0.0017903125873097417,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,115.77958679199219,5146245632,0.0028348396508601605,0.0019996013708292962,nan,,
auto_fp32,auto,auto,float32,4096,32768,32000,bfloat16,cuda,mean,False,False,False,125.48505401611328,4947273216,0.0028348396508601605,0.0021842423131804003,nan,,
liger,,,,4096,32768,32000,bfloat16,cuda,mean,False,False,False,113.52886199951172,11301867520,0.002329962798364982,0.001527181943159404,nan,,
