label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,2048,32000,float16,cuda,mean,True,False,8.137727737426758,2525234176,0.9999608479376013,0.903404426833926,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,32000,float16,cuda,mean,True,False,75.16569519042969,2252607488,0.13076535851692944,0.060514226265826296,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,True,False,82.78221130371094,2217216512,0.13076535851934576,0.08558681043893883,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,32000,float16,cuda,mean,True,False,105.69318389892578,2200308224,0.13076535851870405,0.12102974977463574,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,32000,float16,cuda,mean,True,False,18.556928634643555,1906184192,0.5276779085256798,0.6261923102990642,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,True,False,32.089088439941406,1896942080,0.578145506792946,0.6291096781340676,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,32000,float16,cuda,mean,True,False,57.604095458984375,1892321792,0.5440917474431998,0.6346904130751737,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,32000,float16,cuda,mean,True,False,12.716032028198242,1774453760,0.5276779085256798,0.6261923102990642,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,True,False,19.23276710510254,1774453760,0.578145506792946,0.6291096781340676,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,32000,float16,cuda,mean,True,False,32.877567291259766,1774453760,0.5440917474431998,0.6346904130751737,,
auto_fp32,auto,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,True,False,19.175424575805664,1774453760,0.578145506792946,0.6291096781340676,,
