device,sm_count,num_tokens,in_features,num_classes,dtype,mode,batch_chunk_size,acc_policy,time_ms,memory_peak_bytes,error
NVIDIA_B300_SXM6_AC,148,8192,32768,8192,bfloat16,chunked,8192,compact,12.223039627075195,4194558464,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,reference,0,compact,35.33679962158203,6383797248,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,64,compact,208.68173217773438,5326645248,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,128,compact,109.97737884521484,5351516160,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,256,compact,69.2240982055664,5401259008,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,512,compact,50.1049919128418,5500745216,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,1024,compact,45.7498893737793,5699717632,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,2048,compact,42.643775939941406,6097662464,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,4096,compact,41.77772903442383,6893552128,
NVIDIA_B300_SXM6_AC,148,8192,32768,32000,bfloat16,chunked,8192,compact,41.353919982910156,8485331456,
