label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,8.350720405578613,1510220800,0.0071885467430590775,0.012315720497552862,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,84.27315521240234,1227109376,0.001662525629854657,0.004551005181003844,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,94.73433685302734,1192504832,0.0016625256482676405,0.006325826382263874,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,125.41133117675781,1175203328,0.001662525645729585,0.008870781693400769,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,56.24012756347656,941896704,0.0028283633187000034,0.004551005181003844,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,68.0447998046875,898903552,0.002036491914805276,0.006325826382263874,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,98.00908660888672,877407744,0.0019985516536762706,0.008870781693400769,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,24.665088653564453,673461248,0.0028283633187000034,0.004738437335219904,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,32.30003356933594,630468096,0.002036491914805276,0.006461062254385897,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,52.65407943725586,608972288,0.0019985516536762706,0.008967568385077918,nan,,
auto_fp32,auto,auto,float32,4096,2048,32768,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,24.652799606323242,673461248,0.0028283633187000034,0.004738437335219904,nan,,
