label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,34.160640716552734,5939405824,0.005373313669053558,0.013148699803368474,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,464.7557067871094,4446760448,0.0016618776341734954,0.00887177427779677,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,636.9228515625,4412943872,0.0016618776109809813,0.01248980679529418,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,1121.639404296875,4396035584,0.0016618757029281852,0.017627461570253845,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,357.2357177734375,3356241408,0.001830090697031371,0.00887177427779677,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,547.2061157226562,3314036224,0.001830101572439926,0.01248980679529418,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,946.8251953125,3292933632,0.007858815531926607,0.017627461570253845,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,176.18943786621094,2282499584,0.001830090697031371,0.0089694126855212,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,293.1087341308594,2240294400,0.001830101572439926,0.012559833134215683,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,529.9988403320312,2219191808,0.007858815531926607,0.017677207049787418,nan,,
auto_fp32,auto,auto,float32,4096,2048,131072,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,176.09829711914062,2282499584,0.001830090697031371,0.0089694126855212,nan,,
