label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,2.372607946395874,402924544,0.008443874941425145,0.009499896541733482,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,23.229440689086914,428103680,0.0016575660072317663,0.002499898378536732,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,21.799936294555664,390348800,0.0016575660072317663,0.0033247329197782097,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,24.395776748657227,371471360,0.0016575659837553204,0.004549672097925136,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,13.87929630279541,344217600,0.002480213634116606,0.002499898378536732,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,13.613056182861328,298074112,0.002480213634116606,0.0033247329197782097,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,17.42233657836914,275002368,0.0024447297567013553,0.004549672097925136,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,5.794816017150879,277108736,0.002480213634116606,0.002826231041827823,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,7.425024032592773,230965248,0.002480213634116606,0.0035767063010522506,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,9.955327987670898,207893504,0.0024447297567013553,0.0047391159462491,nan,,
auto_fp32,auto,auto,float32,4096,2048,8192,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,6.479872226715088,277108736,0.002480213634116606,0.002826231041827823,nan,,
