label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,2048,4096,32000,float16,cuda,mean,True,False,False,7.223296165466309,969147392,0.6922693059991777,0.634430762288336,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,True,False,False,74.63423919677734,1857818624,0.12036109560058873,0.035559129478840434,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,True,False,False,79.62521362304688,1822951936,0.12036109559576755,0.05028951092398162,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,True,False,False,97.70393371582031,1805584896,0.12036109577398625,0.07111617373423017,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,True,False,False,17.168384552001953,1250824192,0.376199086903152,0.5245667330005592,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,True,False,False,29.20038414001465,1240533504,0.4130087094074445,0.5257706962419236,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,True,False,False,53.80607986450195,1235388928,0.37623712590638864,0.5281632685812446,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,True,False,False,12.75391960144043,726536192,0.376199086903152,0.5245667330005592,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,True,False,False,16.305152893066406,716245504,0.4130087094074445,0.5257706962419236,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,True,False,False,28.265472412109375,711100928,0.37623712590638864,0.5281632685812446,nan,,
auto_fp32,auto,auto,float32,2048,4096,32000,float16,cuda,mean,True,False,False,11.981823921203613,726536192,0.376199086903152,0.5245667330005592,nan,,
