label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,16384,4096,32000,float16,cuda,mean,True,False,False,55.162879943847656,5656282112,1.0,0.9888138838804531,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,16384,4096,32000,float16,cuda,mean,True,False,False,500.0007629394531,3733218304,0.8575221663146965,0.07309669745961475,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,mean,True,False,False,516.3673706054688,3455333376,0.8575221663146965,0.10337984661423995,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,mean,True,False,False,532.927490234375,3314818048,0.8575221663532365,0.14619755179725566,nan,,
accurate_budget_fp32,accurate,budget,float32,16384,4096,32000,float16,cuda,mean,True,False,False,519.9605712890625,3428984832,0.8575221663532365,0.10963408812924359,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,16384,4096,32000,float16,cuda,mean,True,False,False,68.8721923828125,2547282432,1.0,0.9456282182728972,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,mean,True,False,False,77.5731201171875,2464954880,1.0000000428842897,0.9470396341966979,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,mean,True,False,False,91.96339416503906,2423791104,1.0,0.9482040034637569,nan,,
balanced_budget_fp32,balanced,budget,float32,16384,4096,32000,float16,cuda,mean,True,False,False,70.8700180053711,2516813312,1.0,0.9460809495189761,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,16384,4096,32000,float16,cuda,mean,True,False,False,62.79987335205078,2022994432,1.0,0.9456282182728972,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,mean,True,False,False,63.878143310546875,1940666880,1.0000000428842897,0.9470396341966979,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,mean,True,False,False,66.60095977783203,1899503104,1.0,0.9482040034637569,nan,,
compact_budget_fp32,compact,budget,float32,16384,4096,32000,float16,cuda,mean,True,False,False,62.63398361206055,1992525312,1.0,0.9460809495189761,nan,,
auto_fp32,auto,auto,float32,16384,4096,32000,float16,cuda,mean,True,False,False,62.78553771972656,2022994432,1.0,0.9456282182728972,nan,,
