label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,65536,float16,cuda,mean,False,220.1947479248047,2734982144,nan,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,65536,float16,cuda,mean,False,838.9057006835938,3435355136,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,939.7699584960938,3399702528,nan,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,65536,float16,cuda,mean,False,1204.0042724609375,3381876736,nan,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,65536,float16,cuda,mean,False,357.7331848144531,2263046656,nan,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,460.8815612792969,2243123200,nan,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,65536,float16,cuda,mean,False,775.5894775390625,2233161728,nan,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,65536,float16,cuda,mean,False,256.85400390625,1719829504,nan,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,265.9181213378906,1719829504,nan,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,65536,float16,cuda,mean,False,378.67315673828125,1719829504,nan,nan,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,265.787109375,1719829504,nan,nan,,
liger,,,,4096,4096,65536,float16,cuda,mean,False,409.8949890136719,2793590784,nan,nan,,
