label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,8192,4096,32000,float16,cuda,mean,False,213.6023406982422,2443510784,nan,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,8192,4096,32000,float16,cuda,mean,False,736.0757446289062,1997849600,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,8192,4096,32000,float16,cuda,mean,False,760.1317749023438,1923920896,nan,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,8192,4096,32000,float16,cuda,mean,False,814.0508422851562,1886956544,nan,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,8192,4096,32000,float16,cuda,mean,False,254.22012329101562,1282195968,nan,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,8192,4096,32000,float16,cuda,mean,False,288.3815002441406,1236840960,nan,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,8192,4096,32000,float16,cuda,mean,False,348.12493896484375,1214163456,nan,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,8192,4096,32000,float16,cuda,mean,False,229.7692108154297,996344832,nan,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,8192,4096,32000,float16,cuda,mean,False,239.08883666992188,996344832,nan,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,8192,4096,32000,float16,cuda,mean,False,249.8805389404297,996344832,nan,nan,,
auto_fp32,auto,aspect_ratio:2,float32,8192,4096,32000,float16,cuda,mean,False,238.21107482910156,996344832,nan,nan,,
liger,,,,8192,4096,32000,float16,cuda,mean,False,254.68643188476562,1519099904,nan,nan,,
