label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,16384,float16,cuda,mean,False,53.926910400390625,721716224,0.010434301349659038,0.0069052606221460975,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,16384,float16,cuda,mean,False,189.0727996826172,1040544768,0.004509586586161152,0.0004213777954927927,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,16384,float16,cuda,mean,False,191.67333984375,998597632,0.004509586586549613,0.0005792598202654227,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,16384,float16,cuda,mean,False,209.65171813964844,977624064,0.004509586586804848,0.0008070934145968159,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,16384,float16,cuda,mean,False,66.71974182128906,679834112,0.012900520293232342,0.006934220398776887,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,16384,float16,cuda,mean,False,75.95532989501953,650469888,0.009470057516748884,0.00694554412599763,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,16384,float16,cuda,mean,False,91.92723083496094,635787776,0.009470057516748884,0.006968138632690478,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,16384,float16,cuda,mean,False,61.04828643798828,520389632,0.012900520293232342,0.006935441298378923,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,16384,float16,cuda,mean,False,64.04505920410156,520389632,0.009470057516748884,0.006946764624606727,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,16384,float16,cuda,mean,False,67.12358093261719,520389632,0.009470057516748884,0.00696936691145152,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,16384,float16,cuda,mean,False,63.664608001708984,520389632,0.009470057516748884,0.006946764300573573,,
liger,,,,4096,4096,16384,float16,cuda,mean,False,65.92537689208984,788844544,0.012058985096061717,0.006917828949837193,,
