acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.0016703191968836018,0.0014087546611152666,4096,reference,262145024,32000,2048,mean,370.91455899644643
accurate,False,aspect_ratio,cuda,bfloat16,0.001663065400697484,0.0018935455438695353,4096,accurate_aspect_ratio,281304576,32000,2048,mean,402.96202001627535
accurate,False,aspect_ratio:2,cuda,bfloat16,0.001663065400697484,0.001946470546574646,4096,accurate_aspect_ratio:2,278922240,32000,2048,mean,427.8581949765794
accurate,False,aspect_ratio:4,cuda,bfloat16,0.001663065400697484,0.001983412018119121,4096,accurate_aspect_ratio:4,278922240,32000,2048,mean,483.3768589887768
balanced,False,aspect_ratio,cuda,bfloat16,0.001663065400697484,0.0018935455438695353,4096,balanced_aspect_ratio,281304576,32000,2048,mean,403.38640302070417
balanced,False,aspect_ratio:2,cuda,bfloat16,0.001663065400697484,0.001946470546574646,4096,balanced_aspect_ratio:2,278922240,32000,2048,mean,429.09047001739964
balanced,False,aspect_ratio:4,cuda,bfloat16,0.001663065400697484,0.001983412018119121,4096,balanced_aspect_ratio:4,278922240,32000,2048,mean,483.6766110092867
compact,False,aspect_ratio,cuda,bfloat16,0.001663065400697484,0.00181796795683238,4096,compact_aspect_ratio,278922240,32000,2048,mean,396.0840450017713
compact,False,aspect_ratio:2,cuda,bfloat16,0.001663065400697484,0.0019012399618695568,4096,compact_aspect_ratio:2,278922240,32000,2048,mean,411.9870380091015
compact,False,aspect_ratio:4,cuda,bfloat16,0.001663065400697484,0.0019582426721498074,4096,compact_aspect_ratio:4,278922240,32000,2048,mean,456.1728360131383
auto,False,aspect_ratio:2,cuda,bfloat16,0.001663065400697484,0.0019012399618695568,4096,auto,278922240,32000,2048,mean,412.0036389795132
,False,,cuda,bfloat16,nan,nan,4096,liger,1081747456,32000,2048,mean,429.2849699850194
