acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.001691130622887533,0.001688274550313756,4096,reference,167773184,8192,4096,mean,187.35692300833762
accurate,False,aspect_ratio,cuda,bfloat16,0.001665306927659797,0.0024636661983240384,4096,accurate_aspect_ratio,117494272,8192,4096,mean,193.1626420118846
accurate,False,aspect_ratio:2,cuda,bfloat16,0.001665306927659797,0.0030378036715993104,4096,accurate_aspect_ratio:2,100664320,8192,4096,mean,196.25168599304743
accurate,False,aspect_ratio:4,cuda,bfloat16,0.001665306927659797,0.003745905554736541,4096,accurate_aspect_ratio:4,100664320,8192,4096,mean,201.1604430153966
balanced,False,aspect_ratio,cuda,bfloat16,0.001665306927659797,0.002463656947277462,4096,balanced_aspect_ratio,117494272,8192,4096,mean,193.30572601757012
balanced,False,aspect_ratio:2,cuda,bfloat16,0.001665306927659797,0.0030377983690633233,4096,balanced_aspect_ratio:2,100664320,8192,4096,mean,196.20351202320307
balanced,False,aspect_ratio:4,cuda,bfloat16,0.001665306927659797,0.003745908317514963,4096,balanced_aspect_ratio:4,100664320,8192,4096,mean,201.08912599971518
compact,False,aspect_ratio,cuda,bfloat16,0.001665306927659797,0.0022454128554358042,4096,compact_aspect_ratio,100664320,8192,4096,mean,192.91770699783228
compact,False,aspect_ratio:2,cuda,bfloat16,0.001665306927659797,0.002773104731691014,4096,compact_aspect_ratio:2,100664320,8192,4096,mean,195.15012501506135
compact,False,aspect_ratio:4,cuda,bfloat16,0.001665306927659797,0.003510606818340387,4096,compact_aspect_ratio:4,100664320,8192,4096,mean,199.35636699665338
auto,False,aspect_ratio:2,cuda,bfloat16,0.001665306927659797,0.0027731201220256587,4096,auto,100664320,8192,4096,mean,195.26504699024372
,False,,cuda,bfloat16,nan,nan,4096,liger,335564800,8192,4096,mean,191.72355000046082
