acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.0016716759960156012,0.0016322092536089532,1024,reference,974652416,32000,4096,mean,190.5860870028846
accurate,False,aspect_ratio,cuda,bfloat16,0.0016640534513419672,0.003174076362764003,1024,accurate_aspect_ratio,74233344,32000,4096,mean,247.45188999804668
accurate,False,aspect_ratio:2,cuda,bfloat16,0.0016640534513419672,0.003283683343585061,1024,accurate_aspect_ratio:2,73925632,32000,4096,mean,286.95524600334466
accurate,False,aspect_ratio:4,cuda,bfloat16,0.0016640534513419672,0.003361140596542025,1024,accurate_aspect_ratio:4,73925632,32000,4096,mean,505.6373549741693
balanced,False,aspect_ratio,cuda,bfloat16,0.0016640534513419672,0.0031740785457431238,1024,balanced_aspect_ratio,74233344,32000,4096,mean,247.60551698273048
balanced,False,aspect_ratio:2,cuda,bfloat16,0.0016640534513419672,0.003283683343585061,1024,balanced_aspect_ratio:2,73925632,32000,4096,mean,286.9526850117836
balanced,False,aspect_ratio:4,cuda,bfloat16,0.0016640534513419672,0.003361140596542025,1024,balanced_aspect_ratio:4,73925632,32000,4096,mean,502.38984401221387
compact,False,aspect_ratio,cuda,bfloat16,0.0016640534513419672,0.003102984162759972,1024,compact_aspect_ratio,73925632,32000,4096,mean,237.1870699862484
compact,False,aspect_ratio:2,cuda,bfloat16,0.0016640534513419672,0.0032438785630902437,1024,compact_aspect_ratio:2,73925632,32000,4096,mean,272.36031301436014
compact,False,aspect_ratio:4,cuda,bfloat16,0.0016640534513419672,0.003339804218585877,1024,compact_aspect_ratio:4,73925632,32000,4096,mean,482.501182006672
auto,False,aspect_ratio:2,cuda,bfloat16,0.0016640534513419672,0.0032438787708286994,1024,auto,73925632,32000,4096,mean,272.3746160045266
,False,,cuda,bfloat16,nan,nan,1024,liger,278745088,32000,4096,mean,270.66253099474125
