label,acc_policy,chunking_method,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,16384,4096,32000,bfloat16,cuda,mean,False,2999.7671469463967,3797943296,nan,nan,,
accurate_aspect_ratio,accurate,aspect_ratio,16384,4096,32000,bfloat16,cuda,mean,False,3032.625139981974,410182144,nan,nan,,
accurate_aspect_ratio:2,accurate,aspect_ratio:2,16384,4096,32000,bfloat16,cuda,mean,False,3073.2759769889526,396362752,nan,nan,,
accurate_aspect_ratio:4,accurate,aspect_ratio:4,16384,4096,32000,bfloat16,cuda,mean,False,3150.6823909585364,396362752,nan,nan,,
balanced_aspect_ratio,balanced,aspect_ratio,16384,4096,32000,bfloat16,cuda,mean,False,3036.9883840321563,410182144,nan,nan,,
balanced_aspect_ratio:2,balanced,aspect_ratio:2,16384,4096,32000,bfloat16,cuda,mean,False,3073.241066012997,396362752,nan,nan,,
balanced_aspect_ratio:4,balanced,aspect_ratio:4,16384,4096,32000,bfloat16,cuda,mean,False,3153.283548017498,396362752,nan,nan,,
compact_aspect_ratio,compact,aspect_ratio,16384,4096,32000,bfloat16,cuda,mean,False,3032.999918970745,396362752,nan,nan,,
compact_aspect_ratio:2,compact,aspect_ratio:2,16384,4096,32000,bfloat16,cuda,mean,False,3062.6541660167277,396362752,nan,nan,,
compact_aspect_ratio:4,compact,aspect_ratio:4,16384,4096,32000,bfloat16,cuda,mean,False,3124.3190829991363,396362752,nan,nan,,
auto,auto,aspect_ratio:2,16384,4096,32000,bfloat16,cuda,mean,False,3062.5234080362134,396362752,nan,nan,,
liger,,,16384,4096,32000,bfloat16,cuda,mean,False,3043.136594002135,1314996224,nan,nan,,
