label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,8192,float16,cuda,mean,False,27.445920944213867,386171904,0.010049104131156434,0.006207913245944604,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,8192,float16,cuda,mean,False,93.9315185546875,654676992,0.004509217477836438,0.00028163904521433014,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,94.54732513427734,604337152,0.004509217477586276,0.0003723944614549822,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,8192,float16,cuda,mean,False,97.39263916015625,579167232,0.004509217477209411,0.000507187690958395,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,8192,float16,cuda,mean,False,32.99795150756836,436572672,0.011028514432131995,0.006218946740494527,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,35.28713607788086,394621440,0.0100596630292319,0.006223653320044204,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,8192,float16,cuda,mean,False,39.444480895996094,373645824,0.00899573001331483,0.006233074546144811,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,8192,float16,cuda,mean,False,31.88979148864746,319063040,0.011028514432131995,0.0062206186525850405,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,32.60774230957031,319063040,0.0100596630292319,0.006225480869341137,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,8192,float16,cuda,mean,False,33.6115837097168,319063040,0.00899573001331483,0.0062349834250643695,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,8192,float16,cuda,mean,False,32.61439895629883,319063040,0.0100596630292319,0.006225480973658284,,
liger,,,,4096,4096,8192,float16,cuda,mean,False,30.8853759765625,453300224,0.010048794781946514,0.006212633268830852,,
