label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,2048,32000,float16,cuda,mean,False,55.82438278198242,1214546944,0.013524710867955784,0.007459326452951162,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,32000,float16,cuda,mean,False,204.78941345214844,907631616,0.0031878810088619472,0.0009725567275098961,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,False,238.60137939453125,890198016,0.0031878810088619472,0.0013539654662444464,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,32000,float16,cuda,mean,False,300.87371826171875,881481728,0.00318788100829751,0.0018673317454710081,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,32000,float16,cuda,mean,False,91.78108978271484,596597248,0.012099917445250167,0.007544154908716068,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,False,135.0655975341797,586831872,0.012099917445250167,0.0075979691652772125,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,32000,float16,cuda,mean,False,199.1372833251953,581949440,0.012946888889243911,0.007675538343702603,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,32000,float16,cuda,mean,False,67.19078063964844,463766528,0.012099917445250167,0.007545092725962786,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,False,86.39282989501953,463766528,0.012099917445250167,0.007598835011028268,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,32000,float16,cuda,mean,False,101.36780548095703,463766528,0.012946888889243911,0.007676286320558238,,
auto_fp32,auto,aspect_ratio:2,float32,4096,2048,32000,float16,cuda,mean,False,86.42755126953125,463766528,0.012099917445250167,0.007598834245434293,,
liger,,,,4096,2048,32000,float16,cuda,mean,False,101.3055648803711,725536768,0.011546515735979415,0.0075263805198248716,,
