label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,1024,32000,float16,cuda,mean,False,30.8209285736084,1139573760,0.015062475551591957,0.00809008738215564,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,1024,32000,float16,cuda,mean,False,125.50768280029297,463558656,0.0022535270549095226,0.0013599322240961985,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,161.06690979003906,454645760,0.0022535270590145436,0.0018853019012723682,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,1024,32000,float16,cuda,mean,False,238.71066284179688,450222080,0.0022535270497099124,0.0025793254062217164,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,1024,32000,float16,cuda,mean,False,65.73446655273438,306272256,0.016383168707004764,0.008223928315485027,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,105.69522857666016,301684736,0.016383279157490903,0.00830070270895767,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,1024,32000,float16,cuda,mean,False,200.91270446777344,299341824,0.016383279157490903,0.00838064878819006,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,1024,32000,float16,cuda,mean,False,40.930335998535156,238846976,0.016383168707004764,0.00822470837775746,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,55.818241119384766,238945280,0.016383279157490903,0.008301399152977116,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,1024,32000,float16,cuda,mean,False,102.76249694824219,238846976,0.016383279157490903,0.008381106708011373,,
auto_fp32,auto,aspect_ratio:2,float32,4096,1024,32000,float16,cuda,mean,False,55.81167984008789,238945280,0.016383279157490903,0.008301399152977116,,
liger,,,,4096,1024,32000,float16,cuda,mean,False,75.68380737304688,370790400,0.015836566542040742,0.00821272943051179,,
