label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,2048,4096,32000,float16,cuda,mean,False,53.416385650634766,838091776,0.007018708366842091,0.004875440730056989,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,False,205.3814697265625,1694020608,0.002255597315543654,0.0005838486248660215,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,231.94729614257812,1675538432,0.002255597315543654,0.0007982618009446181,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,False,296.9477233886719,1666297856,0.002255597312185726,0.0010780842162516338,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,False,89.19852447509766,1121890816,0.005888003931053506,0.0049151369149517945,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,115.53340911865234,1110552576,0.007069456792518981,0.004943793705831509,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,False,191.04920959472656,1104883712,0.006305348771775366,0.0049930612048077125,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,2048,4096,32000,float16,cuda,mean,False,64.69471740722656,853820416,0.005888003931053506,0.004915628603000531,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,67.89401245117188,853820416,0.007069456792518981,0.0049443025805446985,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,2048,4096,32000,float16,cuda,mean,False,94.16124725341797,853820416,0.006305348771775366,0.004993521850571353,,
auto_fp32,auto,aspect_ratio:2,float32,2048,4096,32000,float16,cuda,mean,False,67.85475158691406,853820416,0.007069456792518981,0.0049443025805446985,,
liger,,,,2048,4096,32000,float16,cuda,mean,False,100.40643310546875,1377724416,0.005379602692649026,0.004909094813767274,,
