label,acc_policy,chunking_method,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,8192,4096,32000,bfloat16,cuda,mean,False,1480.6710959528573,1767900160,nan,nan,,
accurate_aspect_ratio,accurate,aspect_ratio,8192,4096,32000,bfloat16,cuda,mean,False,1522.0794539782219,336163328,nan,nan,,
accurate_aspect_ratio:2,accurate,aspect_ratio:2,8192,4096,32000,bfloat16,cuda,mean,False,1567.433930002153,329253888,nan,nan,,
accurate_aspect_ratio:4,accurate,aspect_ratio:4,8192,4096,32000,bfloat16,cuda,mean,False,1613.88761800481,329253888,nan,nan,,
balanced_aspect_ratio,balanced,aspect_ratio,8192,4096,32000,bfloat16,cuda,mean,False,1531.8521549925208,336163328,nan,nan,,
balanced_aspect_ratio:2,balanced,aspect_ratio:2,8192,4096,32000,bfloat16,cuda,mean,False,1571.6804119874723,329253888,nan,nan,,
balanced_aspect_ratio:4,balanced,aspect_ratio:4,8192,4096,32000,bfloat16,cuda,mean,False,1614.1585939913057,329253888,nan,nan,,
compact_aspect_ratio,compact,aspect_ratio,8192,4096,32000,bfloat16,cuda,mean,False,1526.8610539496876,329253888,nan,nan,,
compact_aspect_ratio:2,compact,aspect_ratio:2,8192,4096,32000,bfloat16,cuda,mean,False,1556.9738870253786,329253888,nan,nan,,
compact_aspect_ratio:4,compact,aspect_ratio:4,8192,4096,32000,bfloat16,cuda,mean,False,1582.2646880405955,329253888,nan,nan,,
auto,auto,aspect_ratio:2,8192,4096,32000,bfloat16,cuda,mean,False,1556.8972289911471,329253888,nan,nan,,
liger,,,8192,4096,32000,bfloat16,cuda,mean,False,1548.845520010218,1181261824,nan,nan,,
