label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,1024,4096,32000,float16,cuda,mean,False,26.9979190826416,689185792,0.004284215748560797,0.003038409329172269,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,False,117.16556549072266,1641962496,0.0011272108713265704,0.0005057470174188615,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,149.50604248046875,1632918528,0.0011272108654721074,0.0006660777945248379,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,False,224.0740509033203,1628101632,0.0011272108669139807,0.0008566564872133317,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,False,59.12409591674805,1093950464,0.004311304263594874,0.0030747954643121117,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,96.94425964355469,1088183296,0.004003804054656429,0.003104017006233157,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,False,187.67251586914062,1085250560,0.004003804054656429,0.0031476864748230323,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,False,35.41196823120117,828646400,0.004311304263594874,0.0030750913995718364,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,48.714111328125,828744704,0.004003804054656429,0.003104312147195513,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,False,91.42272186279297,828646400,0.004003804054656429,0.003147947261735782,,
auto_fp32,auto,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,False,48.71583938598633,828744704,0.004003804054656429,0.003104312147195513,,
liger,,,,1024,4096,32000,float16,cuda,mean,False,73.11039733886719,1352741888,0.004138027579482564,0.003077449020147891,,
