acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.0016659379758357162,0.0016011554316042024,2048,reference,900727808,32000,4096,mean,373.03953399532475
accurate,False,aspect_ratio,cuda,bfloat16,0.0016583426436648163,0.002737872892247436,2048,accurate_aspect_ratio,148551168,32000,4096,mean,404.0209969971329
accurate,False,aspect_ratio:2,cuda,bfloat16,0.0016583426436648163,0.002851913275564435,2048,accurate_aspect_ratio:2,147850240,32000,4096,mean,431.3886010204442
accurate,False,aspect_ratio:4,cuda,bfloat16,0.0016583426436648163,0.002933346185018032,2048,accurate_aspect_ratio:4,147850240,32000,4096,mean,536.8873569823336
balanced,False,aspect_ratio,cuda,bfloat16,0.0016583426436648163,0.002737882162457009,2048,balanced_aspect_ratio,148551168,32000,4096,mean,404.89978800178505
balanced,False,aspect_ratio:2,cuda,bfloat16,0.0016583426436648163,0.002851908109352257,2048,balanced_aspect_ratio:2,147850240,32000,4096,mean,431.7586380057037
balanced,False,aspect_ratio:4,cuda,bfloat16,0.0016583426436648163,0.0029333468152598296,2048,balanced_aspect_ratio:4,147850240,32000,4096,mean,537.5430890126154
compact,False,aspect_ratio,cuda,bfloat16,0.0016583426436648163,0.0026423788442097194,2048,compact_aspect_ratio,147850240,32000,4096,mean,397.1529540140182
compact,False,aspect_ratio:2,cuda,bfloat16,0.0016583426436648163,0.0027964339237767674,2048,compact_aspect_ratio:2,147850240,32000,4096,mean,414.3374449922703
compact,False,aspect_ratio:4,cuda,bfloat16,0.0016583426436648163,0.0029034302708463677,2048,compact_aspect_ratio:4,147850240,32000,4096,mean,508.81814799504355
auto,False,aspect_ratio:2,cuda,bfloat16,0.0016583426436648163,0.002796430851361961,2048,auto,147850240,32000,4096,mean,414.1342669900041
,False,,cuda,bfloat16,nan,nan,2048,liger,557469696,32000,4096,mean,427.63745799311437
