acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.0016702245743795442,0.0015721210901736128,4096,reference,752878592,32000,4096,mean,741.9467889994849
accurate,False,aspect_ratio,cuda,bfloat16,0.0016628498187758127,0.002440615202234311,4096,accurate_aspect_ratio,299153920,32000,4096,mean,783.3845939894672
accurate,False,aspect_ratio:2,cuda,bfloat16,0.0016628498187758127,0.002568613691429165,4096,accurate_aspect_ratio:2,295699456,32000,4096,mean,805.4327760182787
accurate,False,aspect_ratio:4,cuda,bfloat16,0.0016628498187758127,0.0026614931431791244,4096,accurate_aspect_ratio:4,295699456,32000,4096,mean,855.8572230103891
balanced,False,aspect_ratio,cuda,bfloat16,0.0016628498187758127,0.0024406140442553266,4096,balanced_aspect_ratio,299153920,32000,4096,mean,784.2507589957677
balanced,False,aspect_ratio:2,cuda,bfloat16,0.0016628498187758127,0.002568613299754206,4096,balanced_aspect_ratio:2,295699456,32000,4096,mean,805.6839249911718
balanced,False,aspect_ratio:4,cuda,bfloat16,0.0016628498187758127,0.002661496147552242,4096,balanced_aspect_ratio:4,295699456,32000,4096,mean,855.2384679787792
compact,False,aspect_ratio,cuda,bfloat16,0.0016628498187758127,0.002311155424650303,4096,compact_aspect_ratio,295699456,32000,4096,mean,775.6916439975612
compact,False,aspect_ratio:2,cuda,bfloat16,0.0016628498187758127,0.002487347322330867,4096,compact_aspect_ratio:2,295699456,32000,4096,mean,790.5397069989704
compact,False,aspect_ratio:4,cuda,bfloat16,0.0016628498187758127,0.00261525161030313,4096,compact_aspect_ratio:4,295699456,32000,4096,mean,821.3490460184403
auto,False,aspect_ratio:2,cuda,bfloat16,0.0016628498187758127,0.0024873424409765496,4096,auto,295699456,32000,4096,mean,790.3494459751528
,False,,cuda,bfloat16,nan,nan,4096,liger,1115705344,32000,4096,mean,806.7057950247545
