acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.001725148101162767,0.001721027769542724,4096,reference,67109888,4096,4096,mean,95.07897199364379
accurate,False,aspect_ratio,cuda,bfloat16,0.0016694574788167175,0.0021366871482232236,4096,accurate_aspect_ratio,100725248,4096,4096,mean,97.8156010096427
accurate,False,aspect_ratio:2,cuda,bfloat16,0.0016694574788167175,0.0025731118809496027,4096,accurate_aspect_ratio:2,67162624,4096,4096,mean,98.12903401325457
accurate,False,aspect_ratio:4,cuda,bfloat16,0.0016694574788167175,0.0031178685406574322,4096,accurate_aspect_ratio:4,67109888,4096,4096,mean,99.40442099468783
balanced,False,aspect_ratio,cuda,bfloat16,0.0016694574788167175,0.002136877417651401,4096,balanced_aspect_ratio,100725248,4096,4096,mean,97.27117398870178
balanced,False,aspect_ratio:2,cuda,bfloat16,0.0016694574788167175,0.0025730443162739368,4096,balanced_aspect_ratio:2,67162624,4096,4096,mean,97.80618798686191
balanced,False,aspect_ratio:4,cuda,bfloat16,0.0016694574788167175,0.0031178885459655,4096,balanced_aspect_ratio:4,67109888,4096,4096,mean,99.10489799221978
compact,False,aspect_ratio,cuda,bfloat16,0.0016694574788167175,0.002136938328266943,4096,compact_aspect_ratio,67170816,4096,4096,mean,97.02298601041548
compact,False,aspect_ratio:2,cuda,bfloat16,0.0016694574788167175,0.002436078168462603,4096,compact_aspect_ratio:2,67109888,4096,4096,mean,97.56305700284429
compact,False,aspect_ratio:4,cuda,bfloat16,0.0016694574788167175,0.002946070218776941,4096,compact_aspect_ratio:4,67109888,4096,4096,mean,98.45867200056091
auto,False,aspect_ratio:2,cuda,bfloat16,0.0016694574788167175,0.0024361278572147386,4096,auto,67109888,4096,4096,mean,97.59560402017087
,False,,cuda,bfloat16,nan,nan,4096,liger,201347072,4096,4096,mean,94.80782502214424
