label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,32768,32000,float16,cuda,mean,False,False,False,95.01696014404297,5272536064,0.014573960014674004,0.006763845793580402,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,32768,32000,float16,cuda,mean,False,False,False,962.3009033203125,15003406848,0.01275586675788441,0.00027935006234070545,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,32768,32000,float16,cuda,mean,False,False,False,958.9370727539062,14204376064,0.01275586677639067,0.0003693039906789913,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,32768,32000,float16,cuda,mean,False,False,False,970.967041015625,13939078144,0.01275586675788441,0.0005031578260669653,nan,,
accurate_budget_fp32,accurate,budget,float32,4096,32768,32000,float16,cuda,mean,False,False,False,991.7890625,13942187520,0.012755866772589664,0.0005038257376543807,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,32768,32000,float16,cuda,mean,False,False,False,112.73113250732422,10010087936,0.016679247393585776,0.006791488830263662,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,32768,32000,float16,cuda,mean,False,False,False,117.65145874023438,9476346368,0.016679103460277338,0.00679573515642984,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,32768,32000,float16,cuda,mean,False,False,False,133.712890625,9209475584,0.01667359801821503,0.006804368341450035,nan,,
balanced_budget_fp32,balanced,budget,float32,4096,32768,32000,float16,cuda,mean,False,False,False,128.94924926757812,9301213184,0.016679103460277338,0.0068000553638309725,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,32768,32000,float16,cuda,mean,False,False,False,106.65574645996094,5815783936,0.016679247393585776,0.006792505806272015,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,32768,32000,float16,cuda,mean,False,False,False,104.30770874023438,5416260096,0.016679103460277338,0.006796744117700686,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,32768,32000,float16,cuda,mean,False,False,False,107.71148681640625,5082280448,0.01667359801821503,0.006805391276538129,nan,,
compact_budget_fp32,compact,budget,float32,4096,32768,32000,float16,cuda,mean,False,False,False,109.98579406738281,5197086720,0.016679103460277338,0.00680107661923262,nan,,
auto_fp32,auto,auto,float32,4096,32768,32000,float16,cuda,mean,False,False,False,109.50553894042969,5197086720,0.016679103460277338,0.00680107770199063,nan,,
liger,,,,4096,32768,32000,float16,cuda,mean,False,False,False,107.77526092529297,11301867520,0.014574640214998555,0.006764017907313268,nan,,
