label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,4096,4096,bfloat16,cuda,mean,False,False,False,2.0930559635162354,218399744,0.0017248940286687428,0.0017218617373746116,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.99577522277832,520475136,0.0016614435036825211,0.001658683972795216,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.943552017211914,419795456,0.0016614435031530545,0.002032194886953207,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.330175399780273,386232832,0.0016614435044154557,0.002623024483890453,nan,,
accurate_budget_fp32,accurate,budget,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.324031829833984,386232832,0.0016614435044154557,0.002623024483890453,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,11.495424270629883,419820032,0.0016619935880926924,0.001658683972795216,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,12.001279830932617,319136256,0.0016619935880926924,0.002032194886953207,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,11.835391998291016,268794368,0.0016619935880926924,0.002623024483890453,nan,,
balanced_budget_fp32,balanced,budget,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,11.086848258972168,268794368,0.0016619935880926924,0.002623024483890453,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,3.3177599906921387,352711168,0.0016619935880926924,0.0021375575699912985,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,3.7416958808898926,252027392,0.0016619935880926924,0.0024371326057594385,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,4.025343894958496,201685504,0.0016619935880926924,0.0029477016837613198,nan,,
compact_budget_fp32,compact,budget,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,4.384768009185791,201685504,0.0016619935880926924,0.002947658852284455,nan,,
auto_fp32,auto,auto,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,4.000768184661865,201685504,0.0016619935880926924,0.0029472224454824814,nan,,
liger,,,,4096,4096,4096,bfloat16,cuda,mean,False,False,False,2.6165120601654053,285528064,0.001703159453985009,0.0017006101850345825,nan,,
